type,quote
"love","किस्मत की लकीरों का, तुम ताज बन जाओ; कल की बात छोड़ो, तुम मेरे आज बन जाओ.."
"love","दिल तो था हीं नहीं मेरे पास, जो टूटा वो भरोसा था मेरा…"
"love","आपके इश्क से मिली है मेरे वजूद को शोहरत, वरना हमारा ज़िक्र ही कहाँ था आपकी दास्तां से पहले।"
"love","जो गुज़ारी न जा सकी हमसे, हमने वो ज़िंदगी गुज़ारी है- जाॅन एलिया"
"love","एक दुआ तुम्हारें दिल को सुकूँ मिले, एक ख्वाहिश हमारे सिवा कहीं और न मिले.."
"love","हजार शिकवें कई दिनों की बेरुख़ी! बस उनकी एक हंसी और सब रफा-दफा…"
"love","जिंदगी से ख़्वाहिश बस इतनी सी है मेरी, साथ आपका हो और ये जिंदगी कभी ख़त्म ना हो.."
"love","आंसुओ से पलके भिगा लेता हूँ, याद तेरी आती है तो रो लेता हूँ, सोचा की भुला दु तुझे मगर, हर बार फ़ैसला बदल देता हूँ!"
"love","किताब-ए-इश्क़ में क्या कुछ दफ़्न मिला, मुड़े हुएं पन्नों में, एक भूला हुआ वादा मिला..!!"
"love","जुल्फ खुली रखती है वो…दिल बाँधने के लिए!!"
"love","बहुत पहले से उन क़दमों की आहट जान लेते हैं, तुझे ए ज़िंदगी हम दुर से पहचान लेते है- फ़िराक़ गोरखपुरी"
"love","बदन के दोनों किनारों से जल रहा हूं मैं, कि छू रहा हूं तुझे और पिघल रहा हूं मैं-इरफ़ान सिद्दीक़ी"
"love","मेरे अल्फाजो को समझने वाले, लगता है तेरे ज़ख्म भी गहरे है !!"
"love","इत्तेफ़ाक से तो नहीं हम दोनो टकराये; कुछ तो साज़िश, ख़ुदा की भी होगी!"
"love","अपनी सांसों में महकता पाया है तुझे, हर ख्वाब मे बुलाया है तुझे, क्यू न करे याद तुझ को जब खुदा ने हमारे लिए बनाया है तुझे."
"love","अधूरा हूं तुम्हारें बिना मैं, तो पूरे तुम भी नहीं; अगर हूं मैं सच, तो ख़्वाब तुम भी नहीं…"
"love","इतना भी याद न आया करो कि रात भर सो ना सके, वरना सुबह लाल आँखों की वजह पूछती है दुनिया।"
"love","हम ने अक्सर तुम्हारी राहों में रुक कर अपना ही इंतजार किया…"
"love","घर पहुंचते ही यार फोन कर देना। ऐसे बोलने वाले को जिंदगी में कभी ना खोना।"
"love","बेवजह कोई इल्ज़ाम लग जाए तो क्या किजिए…फिर यूं किजिए, कि वो गुनाह कर लीजिए!!"
"love","जिंदगी से यही गिला है मुझे तू बहुत देर से मिला है मुझे.."
"love","तू गुज़र जाये करीब से; वो भी मुलाकात से कम नही.."
"love","गुजरना है तो दिल के अंदर से गुजरो, मोहब्ब्त के शहर में बाईपास नहीं होते..!!"
"love","रूठा अगर तुझसे तो इस अंदाज से रूठूंगा, तेरे शहर की मिट्टी भी मेरे वजूद को तरसेगी.."
"love","सोए अरमानों को तू जगा के तो देख़, सारे हक हैं तुझे, बस जता के तो देख़…"
"love","एक बार देखकर आज़ाद कर दें मुझे, मैं आज भी तेरी पहली नज़र में कैद हूं…."
"love","एहसास-ए-मुहब्बत के लिए बस इतना ही काफ़ी है; तेरे बग़ैर भी हम, तेरे ही रहते हैं!!"
"love","था आपके मनाने का अंदाज़ कुछ ऐसा, कि फिर रूठ जाने को मन करता है.."
"love","यूं गुमसूम मत बैठो पराये लगते हो, मिठी बातें नहीं है तो चलो झगड़ा ही कर लो;"
"love","जाता हूँ तेरे ड़र से..मुझको तुम भुला देना, हो सके तो ऐसा भी करना… बहुत दिनों तक इल्ज़ाम ना देना!"
"love","धीरे से लबों पे आया है एक सवाल, तू ज़्यादा खूबसूरत है, या तेरा खयाल.."
"love","सबकुछ खो दिया मैंने, एक तुम्हें पाने के लिये…"
"love","गिराकर बिजली दिल पर, वो दामन बचा लेते है, नज़रो से कतल करके, वो नज़रें ही चुरा लेते है…"
"love","सैर कर दुनिया की ग़ाफ़िल ज़िंदगानी फिर कहाँ, जिंदगी गर कुछ रहीं तो ये जवानी फिर कहाँ- ख़्वाजा मीर दर्द"
"love","वोह मेरा नहीं फिर भी मेरा है, ये कैसी उम्मीद ने मुझे घेरा है.."
"love","अब भी बरसात की रातों में बदन टूटता है, जाग उठती है जब ख़्वाहिशें अंगड़ाई की.."
"love","सीना तो हमने अपना लोहे जैसा रखा था, पर तुम तो मैगनेट निकली"
"love","किस बात पर तेरा मिजाज इतना बदल सा गया है, क्या कोई खता हुई है हमसे, या फिर तेरा किसी और पे दिल आ गया है…"
"love","जिक्र उसी की होती है जिसकी फ़िक्र होती है|"
"love","कल मैं उसके गली से गुजर रहा था क्या बताऊँ मेरे ऊपर क्या गुजर रहा थी |"
"love","दुनिया का दस्तूर है ये, जिसे टूट कर चाहोगे ,वही तोड़ कर जाएगा |"
"love","दिन दूसरों के कामों में बीत जाती है,और रात आपकी यादों में बीत जाती है |"
"love","बहुत दिनों से नजर में थी,पता नहीं किसकी नजर लगी ,आज कल नजर नहीं आती |"
"love","अधूरे आशिक के बाद ही लोग पुरे शायर बनते है |"
"love","जुर्म का पता नहीं, बस सजा दिये जा रही है ज़िंदगी |"
"love","वक्त बहुत कुछ छीन लेती है खैर मैं तो किसी का आशिक था |"
"love","आज कल लोग दूरियों का फ़ायदा उठा कर मजबूरियां बता जाते है |"
"love","रोज पूछते थे मुझसे मेरा हाल, आज कल किसी और से पूछ रही है |"
"motivational","अगर जीवन में सफलता प्राप्त करनी है तो मेहनत पर विश्वास करें! किस्मत की आजमाईश तो जुए में होती हैं.."
"motivational","जीवन में शांति चाहते हैं तो दुसरों की शिकायतें करने से बेहतर है खुद को बदल लें। क्योंकि पुरी दुनिया में कारपेट बिछाने से खुद के पैरों में चप्पल पहन लेना अधिक सरल है।"
"motivational","अपने लक्ष्य के लिए जोशीले और जुनूनी बनिए..विश्वास रखिए, परिश्रम का फल सफलता हि है…!"
"motivational","समझनी है जिंदगी तो पिछे देखो, जीनी है जिंदगी तो आगे देखो…"
"motivational","घायल तो यहां हर परिंदा है. मगर जो फिर से उड़ सका वहीं जिंदा है.."
"motivational","तरक्कियों की दौड़ में उसी का जोर चल गया, बना के रास्ता जो भीड़ से निकल गया।"
"motivational","ज़िंदगी का सफ़र मानो तो मौज है वरना समस्या तो रोज है।"
"motivational","हर छोटा बदलाव बड़ी कामयाबी का हिस्सा होता है"
"motivational","जो रातों को कोशिशों में गंवा देते हैं, वहीं सपनों की चिंगारी को और हवा देते हैं.."
"motivational","अकेले ही तय करने होते हैं कुछ सफर; ज़िंदगी के हर सफर में हमसफ़र नहीं मिला करते!"
"motivational","ज्ञान से शब्द समझ में आते हैं और अनुभव से अर्थ!!"
"motivational","जिंदगी जख्मों से भरी है वक्त को मरहम बनाना सिख लों, हारना तो है ही मौत के सामने पहले जिंदगी से जीना सिख लो।"
"motivational","थोड़ा डुबूंगा, मगर मैं फिर तैर आऊंगा, ऐ ज़िंदगी, तू देख, मैं फिर जीत जाऊंगा…"
"motivational","ठुकरा दिया जिन्होंने मुझे मेरा वक्त देख कर, कसम खाता हूं, ऐसा वक्त लाऊंगा की मिलना पड़ेगा मुझसे वक्त लेकर.."
"motivational","सीढीयों कि जरूरत उन्हें है, जिन्हें छत तक जाना है। मेरी मंजील तो आसमान है, रास्ता भी खुद ही बनाना है।"
"motivational","धैर्य रखना, कभी निराश मत होना; जिसने तुमको बनाया है वो इस ब्रम्हांड का सबसे बड़ा लेखक है!"
"motivational","जीवन की अधिकांश गलतियां जल्दबाजी में लिए गये फैंसलों के कारण होती है; सोचें, विश्लेषण करें और फिर उस पर काम करें।"
"motivational","दुनिया चुप रहती कब हैं, कहने दो जो कहती है."
"motivational","मैं शुक्रगुजार हूं उन तमाम लोगों का जिन्होंने बुरे वक्त में मेरा साथ छोड़ दिया क्योंकि उन्हें भरोसा था कि मैं मुसिबतों से अकेले हि निपट सकता हूं।"
"motivational","मुसाफ़िर कल भी था मुसाफ़िर आज भी हूँ, कल अपनों की तलाश में था आज अपनी तलाश मैं हूँ!"
"motivational","जिसने भी खुद को खर्च किया है दुनिया ने उसी को Google पर search किया है"
"motivational","अक्सर अकेलेपन से वहीं गुजरता है जो ज़िंदगी में सही फैंसलों को चुनता है।"
"motivational","भाग्य से जितना अधिक उम्मीद करेंगे वह उतना ही निराश करेगा, कर्म में विश्वास रखो आपको अपनी अपेक्षाओं से सदैव अधिक मिलेगा।"
"motivational","जो अपनी गलतियों से सीखता है और दुसरे तरीकें अपनाता है; वह् सफल होता है।"
"motivational","ज्यादा बात करने वाले कुछ नहीं कर पाते और कुछ कर दिखानेवाले ज्यादा बात करने में यकिन नहीं रखते!"
"motivational","जिस काम में काम करने की हद पार ना हो, वो काम किसी काम का नहीं!"
"motivational","ज़िंदगी सँवारने को तो ज़िंदगी पड़ी है, वो लम्हाँ सँवार लो जहाँ ज़िंदगी खड़ी है।"
"motivational","राह संघर्ष की जो चलता है; वो ही संसार को बदलता है, जिसने रातों से जंग जीती, सूर्य बनकर वहीं निकलता है।"
"motivational","मिली है अगर ज़िंदगी तो मिसाल बनकर दिखाईये, वरना इतिहास के पन्ने आजकल रिश्वत देकर भी छपते है.."
"motivational","जीत निश्चित हो तो कायर भी लड़ सकते है। बहादुर वो कहलाते है जो हार निश्चित हो, फिर भी मैदान नहीं छोड़ते।"
"motivational","मंजिल इंसान के हौसले आज़माती है, सपनों के पर्दे आँखों से हटाती है, किसी भी बात से हिम्मत ना हारना; ठोकर ही इंसान को चलना सिखाती है।"
"motivational","कुछ ज्यादा ख़्वाहिशें नहीं ए-ज़िंदगी तुझसे, बस मेरा अगला कदम पिछले से बेहतरीन हो!!"
"motivational","जो कच्चे मकानों में जन्म लेते हैं वहीं ऊंची मिनारों को जन्म देते हैं"
"motivational","मंजिलें बड़ी ज़िद्दी होती हैं हासिल कहाँ नसीब से होती हैं मगर वहाँ तूफान भी हार जाते हैं जहाँ कश्तियाँ ज़िद पर होती हैं।"
"motivational","नाकामयाब लोग दुनिया के ड़र से अपने फैसले बदल लेते है, और कामयाब लोग अपने फैसले से दुनिया बदल देते है।"
"motivational","जिनके उपर जिम्मेदारियों का बोझ होता है उनके पास रूठने और टूटने का वक्त नहीं होता है"
"motivational","एक समर्थ व्यक्ति के पिछे कई समर्थ साथी भी होते है। अकेला कोई कुछ नहीं होता।"
"motivational","तूफ़ान में कभी ताश का घर नहीं बनता रोने से कभी बिगड़ा मुक़द्दर नहीं संवरता दुनिया को जितने का हौसला रखो..एक बार हारने से कोई फ़क़िर नहीं बनता और एक बार जीतने से कोई सिकंदर नहीं बनता!!"
"motivational","कर्म भूमी की दुनिया में, श्रम सभी को करना है… भगवान सिर्फ लकीरें देता है, रंग हमें ही भरने है.."
"motivational","कहते है काला रंग अशुभ होता है। पर स्कूल का वो ब्लैक बोर्ड लोगों की जिंदगी बदल देता है"
"motivational","बेहतर से बेहतर की तलाश करो मिल जाए नदी तो समंदर की तलाश करो टूट जाते है शीशे पत्थरों कि चोट से टूट जाए पत्थर, ऐसे शीशे की तलाश करो..!"
"motivational","अँधेरे से मत ड़रो, सितारे अँधेरे में ही चमकते हैं…"
"motivational","बेवजह दिल पे बोझ न भारी रखिये, जिंदगी एक खूबसूरत जंग है जारी जारी रखिए"
"motivational","एक ऐसा लक्ष्य निर्धारित करें जो आपको सुबह बिस्तर से उठने पर मजबूर कर दें…"
"motivational","किसी के पैरों में गिरकर प्रतिष्ठा पाने के बदले अपने पैरों पर चलकर कुछ बनने की ठान लो"
"motivational","जीस व्यक्ती ने कभी गलती नहीं कि उसने कभी कुछ नया करने की कोशिश नहीं कि।"
"motivational","मुश्किल कोई आ जाये तो ड़रने से क्या होगा, जीने की तरकिब निकालो मर जाने से क्या होगा।"
"motivational","तू जिंदगी को जी, उसे समझने की कोशिश न कर। चलते वक्त के साथ चल, उसमें सिमटने की कोशिश न कर। मन में चल रहे युद्ध को विराम दें, खामख्वाह खुदसे लड़ने की कोशिश न कर.."
"motivational","एक सपने के टूटकर चकनाचूर हो जाने के बाद दुसरा सपना देखने के हौसले को ही जिंदगी कहते है।"
"motivational","वज़ीरों से मत डर ए शहंशाह तूं हुकूमत का सरताज हैं, हारा भले ही तूं वक्त से है, दिलो में आज भी तेरा राज है!!"
"motivational","कोशिश हमेशा परिणाम मिलने तक करें…क्योंकि दुनिया सिर्फ परिणामों को सलाम करती हैं, कोशिशों को नहीं!!"
"motivational","सफ़र में मुश्किलें आये तो जुर्रत और बढ़ती है, कोई जब रास्ता रोके तो हिम्मत और बढ़ती है।"
"motivational","औरों के जोर पर उड़कर दिखाओगे तो अपने परों से उड़ने का हुनर भूल जाओगे।"
"motivational","सम्भव की सीमा जानने का केवल एक ही तरीका है असम्भव से भी आगे निकल जाना.."
"motivational","जीत की खातिर बस जुनून चाहिए, जीसमें उबाल हो ऐसा खून चाहिए, यह आसमान भी आएगा जमीन पर, बस इरादों में जीत की गुंज चाहिए.."
"motivational","जो तुफानों में पलते जा रहे हैं, वहीं दुनिया बदलते जा रहे है- जिगर मुरादाबादी"
"motivational","अगर दुसरों को दुखी देखकर तुम्हे भी दुःख होता है तो, समझ लो की उपर वाले ने तुम्हे इंसान बनाकर कोई गलती नहीं की है.."
"motivational","उस तरह से चलने से बचो जिस तरह से डर आपको चलाए, बल्कि उस तरह से चलिए जिस तरह से प्रेम आपको चलाए."
"motivational","अगर एक हारा हुआ इंसान हारने के बाद भी मुस्कूरा दें.. तो जितने वाला भी जीत की खुशी खो देता है।"
"motivational","हज़ारों उलझनें राहों में और कोशिशें बेहिसाब, इसी का नाम है ज़िंदगी चलते रहिए जनाब- गुलज़ार"
"motivational","उच्च विचार सेना से अधिक बलवान है। जिसके पास सिद्धांतों की शक्ति है, वह कहीं भी हारता नहीं।"
"motivational","जो मिला उसमें ही खुश रहता हूं.. मेरी ऊंगलिया मुझे सिखाती है, दुनिया में एकसमान कोई नहीं।"
"motivational","ज़िन्दगी तुम्हारी हैं, चाहे तो बना लो चाहे तो मिटा लो, अगर चाहते हो कुछ करना, तो अभी भी वक़्त हैं अपनी जान लगा दो.."
"motivational","जब मेहनत करने के बाद भी सपने पुरे नहीं होते तो रास्ते बदलीए सिद्धांत नहीं क्योंकी, पेड़ भी हमेशा पत्ते बदलता है जड़ नहीं…"
"motivational","दुसरों से अपेक्षा रखने के बजाय उनकी तारीफ करना सीखें, आपके लिए दुनिया ही बदल जाएगी।"
"motivational","परिंदो को मंजील मिलेगी यकिनन ये फैले हुए उनके पर बोलते है, वो लोग रहते है खामोश अक्सर जमाने में जिनके हुनर बोलते है।"
"motivational","आप जैसे विचार करेंगे वैसे हो जायेंगे, अगर अपने आप को निर्बल मानेंगे तो आप निर्बल बन जायेंगे और यदी जो आप अपने आप को समर्थ मानेंगे तो आप समर्थ बन जायेंगे।"
"motivational","रूकावटें तो ज़िंदा इंसान के सामने ही आती है, मुर्दों के लिए तो सब रास्ता छोड़ देते है।"
"motivational","जब लोग आपका साथ छोड़ दे तो यह समझ लीजिए…आप उस काम को अकेले ही करने में सक्षम हैं"
"motivational","अगर आपको लगता है कि आपके दुश्मनों की संख्या ज़्यादा नहीं है तो बस थोड़ा कामयाब होना पड़ेगा, फिर देखिये कितनी बड़ी फौज़ तैयार हो जाती है"
"motivational","जीवन का सबसे बड़ा गुरू वक्त होता है क्योंकी जो वक्त सिखाता है वो कोई नहीं सिखा पाता"
"motivational","किसी की निंदा से घबराकर अपने लक्ष्य को नहीं छोड़े, क्योंकि अक्सर लक्ष्य मिलते ही निंदा करने वालों की राय बदल जाती है।"
"motivational","अगर शान्ति चाहते हैं तो लोकप्रियता से बचिए.."
"motivational","लाख दलदल हो पांव जमाए रखिए, हात खाली ही सही उपर उठाये रखिए, कौन कहता है छलनी में पानी रुक नहीं सकता, बर्फ बनने तक हौसला बनाये रखिए।"
"sad","जो कभी न भर पाएं ऐसा भी एक घाव है, जी हाँ…उसका नाम लगाव है!!"
"sad","थक सा गया है मेरी चाहतों का वजूद, अब कोई अच्छा भी लगे तो… इज़हार नहीं करता !!"
"sad","रोज़-रोज़ जलते हैं, फिर भी खाक़ न हुएं, अजीब हैं कुछ ख़्वाब भी, बुझ कर भी राख़ न हुएं।"
"sad","बहुत करीब से अनजान बनकर गुजरा है वो, जो बहुत दूर से पहचान लिया करता था कभी.."
"sad","ये जो तुमने ख़ुद को बदला है .. ये बदला है या “बदला” है!!"
"sad","कोई सुलह करा दें ज़िंदगी की उलझनों से…बड़ी तलब लगी हैं आज मुसकुराने की."
"sad","मेरी यादों की कश्ती उस समुन्दर में तैरती है, जहां पानी सिर्फ और सिर्फ मेरी आँखों का होता है…"
"sad","हिम्मत इतनी थी समुन्दर भी पार कर सकते थे, मजबूर इतने हुए कि दो बूंद आँसूओं ने डुबो दिया।"
"sad","अगर न लिखते हम तो कबके राख हो गए होते, दिल के साथ साथ रूह में भी सुराख हो गए होते!!"
"sad","तेरी उम्मीद पे शायद न अब खरे उतरें हम, इतनी बार बुझे हैं कि जलना भूल गए!!"
"sad","ऐसा लगता है जैसे हर इम्तिहाँ के लिए…किसी ने ज़िंदगी को हमारा पता दे दिया है.!!"
"sad","समझकर भी जो न समझे उसको समझाकर भी क्या होगा…"
"sad","ना हम-सफर ना किसी हम-नशीं से निकलेगा, हमारे पाँव का काँटा हमीं से निकलेगा- राहत इंदौरी"
"sad","अभी तक मौजूद है इस दिल पर तेरे कदमों के निशां..हमने तेरे बाद किसी को इस राह से गुजरने नहीं दिया।"
"sad","जब-जब ‘मुझे’ लगा मैं तेरे लिये खास हूं, तेरी बेरूख़ी ने ये समझा दिया, मैं झूठी “आस” में हूं…"
"sad","अनपढ़ सा मैं, दो लफ्ज़ लिखने लगा हूं, मोहब्बत से मैं घायल बहुत हुआ हूं।"
"sad","नज़रों को यूं ही झुका देने से नींद नही आती, सोते वहीं है जीनके पास किसीकी यादें नहीं होती।"
"sad","ठुकराया हमने भी बहुतों को है तेरी ख़ातिर, तुझसे फासला भी शायद उनकी बद-दुआओं का असर है।"
"sad","तुझ से नही तेरे वक़्त से नाराज़ हूं, जो कभी तुझे मेरे लिए नहीं मिला"
"sad","गुजरती है जो दिल पर वो जुबान पर लाकर क्या होगा.."
"sad","एहसान वो किसी का रखते नहीं मेरा भी चूका दिया; जितना खाया था नमक मेरा, मेरे जख्मों पर लगा दिया…"
"sad","जिस पर भरोसा किया दिल से, उसी ने दिल पर वार किया तीर से…"
"sad","नर्म लफ़्ज़ों से भी लग जाती है चोटें अक्सर, रिश्तें निभाना बड़ा नाज़ुक सा हूनर होता है"
"sad","हज़ारों ख़्वाहिशें ऐसी की हर ख़्वाहिश पे दम निकले, बहुत निकले मेरे अरमान लेकिन फिर भी कम निकले- मिर्ज़ा ग़ालिब"
"sad","इस शहर में जीने के अंदाज़ निराले हैं, होटों पे लतीफ़े हैं आवाज़ में छाले हैं।- ज़ावेद अख़्तर"
"sad","बेहद करीब है वो शख़्स आज भी मेरे इस दिल के, जिसने खामोशियों का सहारा लेकर दुरियों को अंजाम दिया.."
"sad","दिल की उम्मीदों का हौसला तो देखो, इंतजार उसका.. जिसको एहसास तक नहीं।"
"sad","दिल से मिटा न पाओगे मैंने कहा था, तुम किसी और के होकर भी मेरे ही रहे।"
"sad","तक़दिर के हम सबसे पसंदीदा खिलौना है। वो रोज़ जोड़ती है हमें फिरसे तोड़ने के लिए।"
"sad","कौन है जिसमें कमी नहीं होती, आसमां के पास भी तो जमीं नहीं होती।"
"sad","परखा बहुत गया मुझे, लेकिन समझा नही गया।"
"sad","किताब के सादे पन्ने सी शख़्सियत मेरी; नज़रंदाज कर देते है अक्सर पढ़ने वालें…"
"sad","आईने के सामने खड़े होके खुद से ही माफ़ी माँग ली मैंने…सबसे ज़्यादा अपना ही दिल दुखाया मैंने, औरों को ख़ुश करत करते।"
"sad","दिलों में रहता हूं धड़कने थमा देता हूं, मैं इश्क हूं…वजूद की धज्जियां उड़ा देता हूं।"
"sad","कसूरवार किसी को क्या समझे गलती तो अपनी थी, ज़िंदगी बेकदरों को सौप दी, और प्यार लापरवाह से कर लिया।"
"sad","राख होने लगी जल-जल के तमन्नाएं, मगर हसरतें कहती है…कुछ और भी अरमाँ होंगे"
"sad","ये जो ख़ामोश से अल्फ़ाज़ लिखे है ना, पढ़ना कभी ध्यान से…चीखते कमाल के हैं"
"sad","रिश्तों की दलदल से कैसे निकलेंगे, जब हर साजिश के पीछे अपने निकलेंगे।"
"sad","दुनिया धोखा देकर अक्लमंद होती गई…और हम भरोसा कर के गुनहगार हुए जा रहे…"
"sad","जिंदगी तू भी कच्ची पेंसिल की तरह है, हर रोज थोड़ी कम होती जारही है।"
"sad","तेरे वादें तू ही जाने, मेरा तो आज भी वही कहना है। जिस दिन सांस टूटेगी, उस दिन आस छुटेगी।"
"sad","देखा है ज़िंदगी को कुछ इतने करीब से, चेहरे तमाम लगने लगे हैं अजीब से- साहिर लुधियानवी"
"sad","माना मौसम भी बदलते है…मगर धीरे-धीरे; तेरे बदलने की रफ़्तार से तो हवाएं भी हैरान है।"
"sad","ऐसा नहीं है कि अब तेरी जूस्तजू नहीं रहीं, बस टूट-टूट कर बिखरने की हिम्मत नहीं रही।"
"sad","कोई उस दुकान का पता बताओ यारों जहां लिखा हो; टूटे दिलों का काम तसल्ली से किया जाता है।"
"sad","सादगी सिंगार हो गई, आईनों की हार हो गई, ग़म ने जब से मोल ले लिया, ज़िंदगी उधार हो गई- बेकल उत्साही"
"sad","बेफिक्र हो गया वो मेरी फिक्र करने वाला, जिसके होटों पे अक्सर रहता था ज़िक्र मेरा"
"sad","तरस जाओगे हमारे लबों से सुनने को एक लफ़्ज भी, प्यार की बात तो क्या हम शिकायत भी न करेंगे…"
"sad","किसी की कट रही है ज़िंदगी, कोई काट रहा है ज़िंदगी। खुश नसीब है वो, जो जी रहा है ज़िंदगी।"
"sad","तुम इश्क़ पकड़कर लाओ, मै खंज़र तेज़ करता हूं.."
"sad","अपनी तो ज़िंदगी है अजीब कहानी है, जिस चीज़ को चाहा वो ही बेगानी है। हँसते भी है तो दुनिया को दिखाने के लिए, वरना दुनिया डूब जाएं इन आँखों में इतना पानी है।"
"sad","मेरे अकेलेपन का मजाक बनाने वाले, जरा ये तो बताओ… जिस भीड़ में तुम खड़े हो, उसमें तुम्हारा कौन है!!"
"sad","मुस्कुराता फिर रहा है सुबह से वो शहर में..शाम को सारी उदासी अपने घर ले जाएगा.."
"sad","एक कतरा ही सही; मुझे ऐसी नियत दे मौला, किसी को प्यासा जो देखूं तो दरियाँ हो जाऊँ।"
"sad","उनकी नजरों में फर्क अब भी नहीं.. पहले मुड़ के देखते थे, अब देख के मुड़ जाते है।"
"sad","चल आ तेरे पैरों पर मरहम लखा दूं ऐ-मुकद्दर, कुछ चोट तुझे भी आई होगी, मेरे सपनों को ठोकर मार कर;"
"sad","साथ जब भी छोड़ना मुस्कुरा कर छोड़ना ताकि दुनिया ये ना समझे दुरी हो गई…"
"sad","आज हम उनको बेवफ़ा बताकर आए है, उनके खतों को पानी में बहाकर आए है कोई निकाल न ले उन्हें पानी से… इस लिए पानी में भी आग लगा कर आए है.."
"sad","भूलने की बातें याद है..इसिलीए जिंदगी में विवाद है।"
"sad","आजमा लें मुझको थोड़ा सा और ऐ खुदा.. तेरा बंदा बस बिखरा है, मगर अब तक टूटा नहीं।"
"sad","घोंसला बनाने में हम यूं मशगूल हो गए…की उड़ने को पंख भी थे..ये भी भूल गए"
"sad","शक से भी अक्सर ख़त्म हो जाते है कुछ रिश्ते, कसूर हर बार गलतियों का नहीं होता।"
"sad","दर्द मुझको ढूंढ लेता है रोज नये बहाने से, वो हो गया है वाकिफ़ मेरे हर ठिकाने से.."
"sad","रिश्तें काँच सरीके होते है, टूट कर बिखर ही जाते है। समेटने की जहमत कौन करें, अब लोग नया काँच ही ले आते है!"
"sad","दिल से खेलना हमें आता नहीं इसलिए दिल की बाज़ी हार गए, शायद मेरी जिन्दगी से बहुत प्यार था उन्हें इसलिए जाते-जाते मुझे ही मार गए…"
"sad","अब अगर रूठे तो रूठें रहना..मै मनाने वाला हुनर भूल चुका हूं!!"
"sad","रूह पर “मैं” का दाग आ जाता है, जब दिलों में दिमाग आ जाता है।"
"sad","यादों की किमत वो क्या जाने जो खुद यादों को मीटा दिया करते हैं, यादों का मतलब उनसे पूछों जो यादों के सहारें जिया करते हैं!!"
"sad","कोई खुशियों की चाह में रोया, कोई दुखों की पनाह में रोया अजीब सिलसिला हैं ये ज़िंदगी का…कोई भरोसे के लिए रोया, कोई भरोसा कर के रोया!!"
"sad","मोहब्बत का नतीजा….. दुनिया में हमने बुरा देखा, जिन्हे दावा था वफ़ा का, उन्हें भी हमने बेवफा देखा…"
"sad","जिंदगी जीने को एक यहाँ ख्वाब मिलता है, यहाँ हर सवाल का झुठा जवाब मिलता है, किसे समझे अपना किसे पराया, यहाँ हर चेहरे पर एक नकाब मिलता है।"
"sad","सामान बाँध लिया है मैंने, अब बताओ ग़ालिब…कहां रहते हैं वो लोग जो कहीं के नहीं रहते"
"sad","दौड़ती भागती दुनिया का यही तोहफा है… खुब लुटाते रहे अपनापन फिर भी लोग खफा है…"
"sad","वक्त नूर को बेनूर कर देता है, छोटे से जख्म को नासूर कर देता है, कौन चाहता है अपने से दूर होना, लेकिन वक्त सबको मजबूर कर देता है!"
"sad","कमज़ोरीयाँ मत खोज मुझमें…. मेरे दोस्त, एक तू भी शामिल है मेरी कमज़ोरीयों में;"
"sad","आज खुद को इतना तन्हा महसूस किया, जैसे लोग दफना के छोड़ गए हो…"
"sad","ए बुरे वक्त! जरा अदब से पेश आ…वक्त ही कितना लगता है वक्त बदलने में!!"
"sad","हर रोज चले जाते हो तुम यादों की तिजोरी यहीं छोड़ कर।"
"sad","ना सोचा था जिनके लिए हम मर मिटें, एक दिन वही हमसे दूर हो जाएँगे, जीने की तमन्ना तो हम भी रखते थे, अब तेरे बिना कैसे जी पाएंगे…"
"sad","ऊपर वाले मेरी तक़दीर सम्भाले रखना, ज़मीन के सारे खुदाओं से उलझ बैंठा हूं मैं।"
"sad","तुझे चाहा भी तो इजहार न कर सकें, कट गई उम्र किसी से प्यार न कर सकें, तुने माँगा भी तो अपनी जुदाई मांगी, और हम थे की इंकार न कर सके!"
"success","अच्छे व्यवहार का कोई आर्थिक मूल्य भले ही ना हो, लेकिन अच्छा व्यवहार करोड़ों दिलों को खरीदने कि शक्ति रखता है..!"
"success","संयम हमारे चरित्र की कीमत बढाता है, परंतू मित्र और परिवार हमारे जीवन की कीमत बढाते हैं।"
"success","जो दर्द आज सह रहे हो, आगे चलकर वही तुम्हारी ताकत बनेगा!!"
"success","मुसीबत में अगर मदद मांगना तो सोच कर मांगना क्योंकी मुसीबत थोड़ी देर के लिए होती है और अहसान ज़िंदगी भर का."
"success","काबिल-ए-तारीफ होने के लिए, वाकिफ़-ए-तकलीफ़ होना पड़ता है।"
"success","किसी पेड़ के कटने का किस्सा ना होता अगर कुल्हाड़ी के पीछे लकड़ी का हिस्सा ना होता"
"success","अनुभव केवल नाम है जो आदमी ने अपनी ग़लतियों को दिया है।"
"success","एक श्रेष्ठ व्यक्ती कथनी में कम और करनी में ज्यादा होता है।"
"success","तजुर्बे उम्र से नहीं बल्कि हालातों से होते हैं।"
"success","जमाने में आये हो तो जिने का हुनर भी रखना, दुश्मनों का कोई खतरा नही बस अपनों पे नजर रखना…"
"success","माता-पिता जानते हैं कि, वो रह तो रहे हैं बेटों के घर में मगर वैसे नहीं जैसे बेटे रहते थे उनके घर में!"
"success","एक रोज तय है, खुद तब्दील ‘राख’ में होना… उम्रभर फिर क्यों औरों से, जलता है आदमी!"
"success","हर पेड़ छाया दे यह जरूरी नहीं, किसी की छाया भी बड़ा सुकून देती है.."
